playerID	nameFirst	nameLast	debut	finalGame		
currepe01	John	Curran	1876-09-12	1876-09-15		
laffefl01	Flip	Lafferty	1876-09-15	1877-10-02		
malonjo01	Robert	Maloney	1876-09-15	1877-08-28		
pearcfr01	Frank	Pearce	1876-10-04	1876-10-04		
dorgami01	Mike	Dorgan	1877-05-08	1890-06-09		
smithha01	Harry	Smith	1877-05-08	1889-08-19		
roweda01	Dave	Rowe	1877-05-30	1888-06-17		
haldejo01	John	Haldeman	1877-07-03	1877-07-03		
mckenpa01	Patrick	McKenna	1877-07-14	1877-07-14		
littlha01	Harry	Little	1877-07-16	1877-10-06		
leele01	Leonidas	Lee	1877-07-17	1877-08-25		
whitewi01	Will	White	1877-07-20	1886-07-05		
newelte01	George	Newell	1877-08-08	1877-08-08		
edench01	Charlie	Eden	1877-08-17	1885-10-01		
loftuto01	Tom	Loftus	1877-08-17	1883-05-13		
tayloli01	Live Oak	Taylor	1877-08-21	1884-07-30		
buncejo01	Josh	Bunce	1877-08-27	1877-08-27		
pikeja01	Israel	Pike	1877-08-27	1877-08-27		
millege01	George	Miller	1877-09-06	1884-07-22		
mitchbo01	Bobby	Mitchell	1877-09-06	1882-08-19		
sullich01	Chub	Sullivan	1877-09-24	1880-07-17		
reisla01	Laurie	Reis	1877-10-01	1878-09-03		
gleasja01	Jack	Gleason	1877-10-02	1886-08-31		
bennech01	Charlie	Bennett	1878-05-01	1893-09-30		
coreyfr01	Fred	Corey	1878-05-01	1885-10-05		
creamge01	George	Creamer	1878-05-01	1884-10-02		
dalryab01	Abner	Dalrymple	1878-05-01	1891-10-02		
hankifr01	Frank	Hankinson	1878-05-01	1888-10-14		
kellyki01	King	Kelly	1878-05-01	1893-09-02		
mckelru01	Russ	McKelvy	1878-05-01	1882-08-24		
nolanth01	The Only	Nolan	1878-05-01	1885-10-09		
willine01	Ned	Williamson	1878-05-01	1890-09-27		
goodmja01	Jake	Goodman	1878-05-02	1882-05-29		
mcclebi01	Bill	McClellan	1878-05-20	1888-10-17		
mccorji01	Jim	McCormick	1878-05-20	1887-10-07		
healeto01	Tom	Healey	1878-06-13	1878-09-09		
wheelha01	Harry	Wheeler	1878-06-19	1884-10-15		
blissfr01	Frank	Bliss	1878-06-20	1878-06-22		
dickebu01	Buttercup	Dickerson	1878-07-15	1885-06-01		
wardjo01	John	Ward	1878-07-15	1894-09-29		
traffbi01	Bill	Traffley	1878-07-27	1886-07-29		
sullibi01	Bill	Sullivan	1878-08-09	1878-08-10		
jennial01	Alamazoo	Jennings	1878-08-15	1878-08-15		
powerph01	Phil	Powers	1878-08-31	1885-08-26		
allenja01	Jack	Allen	1879-05-01	1879-07-17		
burkemi01	Mike	Burke	1879-05-01	1879-07-19		
carpehi01	Hick	Carpenter	1879-05-01	1892-07-31		
caskied01	Ed	Caskin	1879-05-01	1886-09-24		
clappaa01	Aaron	Clapp	1879-05-01	1879-08-09		
evansja01	Jake	Evans	1879-05-01	1885-05-19		
farreja02	Jack	Farrell	1879-05-01	1889-06-11		
glassja01	Jack	Glasscock	1879-05-01	1895-07-13		
gorege01	George	Gore	1879-05-01	1892-08-18		
hallal01	Al	Hall	1879-05-01	1880-05-13		
hawesbi01	Bill	Hawes	1879-05-01	1884-10-15		
hawketh01	Thorny	Hawkes	1879-05-01	1884-08-02		
